Title,Bedrooms,Bathrooms,Parking,Floors,Road Access, Price (NPR) ,Area (sq.ft),Location
House for Sale,4,2,Available,3,31 ft," 19,553,000.00 ",1625,"Maharajgunj, Kathmandu-28, Kathmandu"
House for Sale,3,3,Available,2,24 ft," 16,500,000.00 ",1773,"Gongabu, Tokha-16, Kathmandu"
House for Sale,3,2,Available,2,13 ft," 45,263,000.00 ",2639,"Tokha, Tokha-17, Kathmandu"
House for Sale,4,2,Not Available,1,31 ft," 24,741,000.00 ",1701,"Baneshwor, Kathmandu-16, Kathmandu"
House for Sale,3,4,Available,2,12 ft," 16,500,000.00 ",1656,"Budhanilkantha, Budhanilkantha-30, Kathmandu"
House for Sale,2,4,Available,2,27 ft," 20,687,000.00 ",1540,"Kapan, Budhanilkantha-5, Kathmandu"
House for Sale,4,2,Available,3,9 ft," 16,500,000.00 ",2097,"Basundhara, Tokha-21, Kathmandu"
House for Sale,3,2,Available,3,13 ft," 27,001,000.00 ",1727,"Budhanilkantha, Budhanilkantha-15, Kathmandu"
House for Sale,5,3,Available,1,29 ft," 16,500,000.00 ",1540,"Sundarijal, Budhanilkantha-13, Kathmandu"
House for Sale,6,2,Available,3,18 ft," 18,339,000.00 ",2328,"Boudha, Gokarneshwor-20, Kathmandu"
House for Sale,5,1,Available,2,23 ft," 23,498,000.00 ",2367,"Sundarijal, Budhanilkantha-31, Kathmandu"
House for Sale,3,2,Available,3,23 ft," 27,146,000.00 ",1559,"Sundarijal, Budhanilkantha-29, Kathmandu"
House for Sale,2,3,Available,3,8 ft," 16,500,000.00 ",1053,"Gongabu, Kathmandu-23, Kathmandu"
House for Sale,5,3,Not Available,2,16 ft," 16,795,000.00 ",2203,"Gokarna, Gokarneshwor-28, Kathmandu"
House for Sale,3,1,Not Available,3,13 ft," 16,500,000.00 ",1526,"Chhetrapati, Kathmandu-13, Kathmandu"
House for Sale,6,2,Not Available,2,23 ft," 16,500,000.00 ",2116,"Sundarijal, Budhanilkantha-11, Kathmandu"
House for Sale,6,2,Not Available,2,10 ft," 38,904,000.00 ",1011,"Jorpati, Gokarneshwor-5, Kathmandu"
House for Sale,5,3,Available,3,27 ft," 22,576,000.00 ",2157,"Dhapasi, Tokha-30, Kathmandu"
House for Sale,3,1,Available,2,11 ft," 16,500,000.00 ",1315,"Gokarna, Gokarneshwor-4, Kathmandu"
House for Sale,3,2,Available,2,26 ft," 27,717,000.00 ",2092,"Kapan, Budhanilkantha-15, Kathmandu"
House for Sale,5,3,Available,2,10 ft," 44,870,000.00 ",1805,"Budhanilkantha, Budhanilkantha-19, Kathmandu"
House for Sale,3,2,Not Available,3,26 ft," 29,017,000.00 ",1418,"Chabahil, Kathmandu-16, Kathmandu"
House for Sale,3,3,Available,2,27 ft," 16,500,000.00 ",1637,"Koteshwor, Kathmandu-13, Kathmandu"
House for Sale,4,2,Not Available,2,14 ft," 16,500,000.00 ",2074,"Gokarna, Gokarneshwor-9, Kathmandu"
House for Sale,5,1,Available,3,27 ft," 31,870,000.00 ",1842,"Chabahil, Kathmandu-28, Kathmandu"
House for Sale,4,2,Not Available,3,16 ft," 16,500,000.00 ",2033,"Basundhara, Tokha-29, Kathmandu"
House for Sale,4,3,Available,2,8 ft," 22,930,000.00 ",2590,"Gokarna, Gokarneshwor-10, Kathmandu"
House for Sale,2,4,Available,2,15 ft," 26,174,000.00 ",1174,"Hattigauda, Budhanilkantha-1, Kathmandu"
House for Sale,4,4,Available,2,14 ft," 16,500,000.00 ",2446,"Maharajgunj, Kathmandu-5, Kathmandu"
House for Sale,6,2,Available,2,25 ft," 18,748,000.00 ",1841,"Baniyatar, Tokha-3, Kathmandu"
House for Sale,3,3,Available,2,15 ft," 16,500,000.00 ",1440,"Gongabu, Tokha-30, Kathmandu"
House for Sale,4,2,Available,3,8 ft," 16,500,000.00 ",1267,"Tokha, Tokha-18, Kathmandu"
House for Sale,5,2,Not Available,3,18 ft," 17,355,000.00 ",1724,"Budhanilkantha, Budhanilkantha-22, Kathmandu"
House for Sale,4,4,Available,3,32 ft," 16,500,000.00 ",2168,"Chabahil, Kathmandu-25, Kathmandu"
House for Sale,4,1,Available,2,32 ft," 36,888,000.00 ",1748,"Baniyatar, Tokha-23, Kathmandu"
House for Sale,4,1,Available,3,25 ft," 16,500,000.00 ",2404,"Sankhamul, Kathmandu-6, Kathmandu"
House for Sale,3,2,Not Available,2,30 ft," 16,500,000.00 ",1219,"Gokarna, Gokarneshwor-29, Kathmandu"
House for Sale,3,1,Available,4,17 ft," 20,231,000.00 ",1795,"Boudha, Gokarneshwor-9, Kathmandu"
House for Sale,5,2,Available,3,10 ft," 34,172,000.00 ",1299,"Balaju, Kathmandu-1, Kathmandu"
House for Sale,5,3,Available,2,14 ft," 16,500,000.00 ",1945,"Boudha, Gokarneshwor-8, Kathmandu"
House for Sale,5,2,Available,3,23 ft," 30,575,000.00 ",2154,"Baniyatar, Tokha-11, Kathmandu"
House for Sale,5,4,Available,2,23 ft," 19,279,000.00 ",1631,"Gokarna, Gokarneshwor-26, Kathmandu"
House for Sale,4,4,Available,3,32 ft," 16,500,000.00 ",800,"Sundarijal, Gokarneshwor-18, Kathmandu"
House for Sale,4,2,Available,1,27 ft," 23,098,000.00 ",1879,"Kirtipur, Kathmandu-24, Kathmandu"
House for Sale,4,2,Not Available,2,24 ft," 20,791,000.00 ",1974,"Gokarna, Gokarneshwor-20, Kathmandu"
House for Sale,4,2,Available,3,9 ft," 16,500,000.00 ",1961,"Dhapasi, Tokha-7, Kathmandu"
House for Sale,4,3,Available,2,8 ft," 19,744,000.00 ",2294,"Balaju, Kathmandu-9, Kathmandu"
House for Sale,4,2,Available,3,23 ft," 16,500,000.00 ",1371,"Sundarijal, Gokarneshwor-19, Kathmandu"
House for Sale,5,3,Not Available,2,19 ft," 20,092,000.00 ",2072,"Dhapasi, Tokha-14, Kathmandu"
House for Sale,3,2,Available,3,12 ft," 25,022,000.00 ",2277,"Gongabu, Tokha-28, Kathmandu"
House for Sale,3,3,Not Available,3,12 ft," 36,209,000.00 ",1088,"Jorpati, Gokarneshwor-2, Kathmandu"
House for Sale,2,2,Available,2,30 ft," 16,500,000.00 ",1927,"Baneshwor, Kathmandu-18, Kathmandu"
House for Sale,4,2,Available,2,16 ft," 45,066,000.00 ",1598,"Boudha, Gokarneshwor-8, Kathmandu"
House for Sale,2,4,Available,2,16 ft," 16,500,000.00 ",1767,"Gokarna, Gokarneshwor-20, Kathmandu"
House for Sale,3,3,Not Available,1,10 ft," 18,069,000.00 ",1939,"Gongabu, Tokha-1, Kathmandu"
House for Sale,4,2,Available,2,26 ft," 24,294,000.00 ",1605,"Budhanilkantha, Budhanilkantha-8, Kathmandu"
House for Sale,3,4,Not Available,3,23 ft," 21,484,000.00 ",1529,"Dhapasi, Tokha-5, Kathmandu"
House for Sale,4,2,Not Available,4,23 ft," 16,500,000.00 ",1813,"Budhanilkantha, Budhanilkantha-17, Kathmandu"
House for Sale,2,4,Available,3,10 ft," 17,666,000.00 ",1365,"Sundarijal, Gokarneshwor-21, Kathmandu"
House for Sale,2,3,Available,3,27 ft," 16,500,000.00 ",1365,"Gongabu, Tokha-9, Kathmandu"
House for Sale,5,2,Available,3,31 ft," 16,500,000.00 ",2071,"Tokha, Tokha-17, Kathmandu"
House for Sale,3,1,Available,3,29 ft," 26,971,000.00 ",1340,"Baniyatar, Tokha-22, Kathmandu"
House for Sale,3,2,Not Available,2,31 ft," 22,147,000.00 ",2066,"Chhetrapati, Kathmandu-17, Kathmandu"
House for Sale,4,3,Not Available,4,8 ft," 16,500,000.00 ",1985,"Gongabu, Tokha-12, Kathmandu"
House for Sale,4,3,Available,3,31 ft," 27,516,000.00 ",1109,"Tokha, Tokha-13, Kathmandu"
House for Sale,3,2,Available,2,27 ft," 21,711,000.00 ",1528,"Tikathali, Mahalaxmi-19, Lalitpur"
House for Sale,4,2,Not Available,2,18 ft," 26,577,000.00 ",2277,"Bungamati, Godawari-31, Lalitpur"
House for Sale,2,4,Available,2,24 ft," 24,699,000.00 ",1407,"Bungamati, Godawari-29, Lalitpur"
House for Sale,2,5,Not Available,2,15 ft," 16,500,000.00 ",1614,"Lagankhel, Lalitpur-30, Lalitpur"
House for Sale,4,3,Available,3,11 ft," 16,500,000.00 ",1984,"Lagankhel, Lalitpur-28, Lalitpur"
House for Sale,4,2,Available,2,13 ft," 25,889,000.00 ",2113,"Bungamati, Godawari-9, Lalitpur"
House for Sale,4,2,Available,2,15 ft," 24,509,000.00 ",1699,"Tikathali, Mahalaxmi-15, Lalitpur"
House for Sale,4,1,Available,4,27 ft," 19,040,000.00 ",1560,"Bungamati, Godawari-26, Lalitpur"
House for Sale,6,4,Available,2,10 ft," 20,123,000.00 ",2368,"Tikathali, Mahalaxmi-22, Lalitpur"
House for Sale,4,2,Available,2,23 ft," 32,008,000.00 ",2495,"Godawari, Godawari-8, Lalitpur"
House for Sale,3,3,Available,1,32 ft," 16,500,000.00 ",2191,"Tikathali, Mahalaxmi-8, Lalitpur"
House for Sale,4,2,Not Available,3,10 ft," 23,897,000.00 ",1834,"Jawalakhel, Lalitpur-4, Lalitpur"
House for Sale,3,3,Not Available,4,32 ft," 17,708,000.00 ",1476,"Lubhu, Mahalaxmi-14, Lalitpur"
House for Sale,3,3,Available,2,25 ft," 17,599,000.00 ",1467,"Tikathali, Mahalaxmi-31, Lalitpur"
House for Sale,2,4,Available,3,21 ft," 29,797,000.00 ",2009,"Lubhu, Mahalaxmi-15, Lalitpur"
House for Sale,2,2,Available,2,25 ft," 26,711,000.00 ",1967,"Lagankhel, Lalitpur-27, Lalitpur"
House for Sale,6,1,Available,4,9 ft," 26,584,000.00 ",2360,"Satdobato, Lalitpur-3, Lalitpur"
House for Sale,5,2,Available,3,29 ft," 32,366,000.00 ",2060,"Lagankhel, Lalitpur-10, Lalitpur"
House for Sale,4,4,Available,3,10 ft," 19,362,000.00 ",1198,"Bungamati, Godawari-13, Lalitpur"
House for Sale,3,4,Available,1,23 ft," 25,221,000.00 ",2220,"Lagankhel, Lalitpur-22, Lalitpur"
House for Sale,3,3,Available,4,16 ft," 16,959,000.00 ",1400,"Bungamati, Godawari-24, Lalitpur"
House for Sale,3,3,Available,3,11 ft," 21,858,000.00 ",1646,"Tikathali, Mahalaxmi-15, Lalitpur"
House for Sale,3,3,Available,2,8 ft," 18,226,000.00 ",1900,"Lubhu, Mahalaxmi-15, Lalitpur"
House for Sale,4,2,Not Available,3,11 ft," 19,960,000.00 ",2598,"Lubhu, Mahalaxmi-25, Lalitpur"
House for Sale,4,4,Available,2,8 ft," 24,361,000.00 ",3043,"Tikathali, Mahalaxmi-11, Lalitpur"
House for Sale,4,2,Available,3,21 ft," 16,500,000.00 ",2042,"Imadol, Mahalaxmi-23, Lalitpur"
House for Sale,3,2,Available,2,28 ft," 44,339,000.00 ",1726,"Bungamati, Godawari-4, Lalitpur"
House for Sale,6,3,Available,3,23 ft," 16,500,000.00 ",2013,"Patan Dhoka, Lalitpur-11, Lalitpur"
House for Sale,4,1,Not Available,2,27 ft," 16,500,000.00 ",2155,"Patan Dhoka, Lalitpur-32, Lalitpur"
House for Sale,4,2,Available,1,31 ft," 30,513,000.00 ",1671,"Godawari, Godawari-4, Lalitpur"
House for Sale,4,3,Not Available,2,15 ft," 26,353,000.00 ",2518,"Thaiba, Godawari-13, Lalitpur"
House for Sale,3,1,Available,1,14 ft," 24,645,000.00 ",1892,"Patan Dhoka, Lalitpur-6, Lalitpur"
House for Sale,3,3,Available,2,10 ft," 24,686,000.00 ",1999,"Thaiba, Godawari-8, Lalitpur"
House for Sale,3,2,Not Available,2,24 ft," 19,106,000.00 ",2066,"Patan Dhoka, Lalitpur-19, Lalitpur"
House for Sale,4,2,Available,2,8 ft," 16,500,000.00 ",1968,"Lubhu, Mahalaxmi-3, Lalitpur"
House for Sale,2,2,Available,2,23 ft," 19,791,000.00 ",2135,"Tikathali, Mahalaxmi-19, Lalitpur"
House for Sale,3,2,Available,2,19 ft," 16,500,000.00 ",1553,"Lamatar, Mahalaxmi-11, Lalitpur"
House for Sale,2,3,Available,3,26 ft," 28,359,000.00 ",1576,"Lagankhel, Lalitpur-12, Lalitpur"
House for Sale,2,2,Not Available,1,29 ft," 18,103,000.00 ",1359,"Tikathali, Mahalaxmi-4, Lalitpur"
House for Sale,5,3,Available,4,30 ft," 16,500,000.00 ",1975,"Godawari, Godawari-8, Lalitpur"
House for Sale,4,2,Available,3,29 ft," 16,884,000.00 ",2111,"Chapagaun, Godawari-26, Lalitpur"
House for Sale,3,3,Available,3,21 ft," 22,648,000.00 ",1983,"Patan Dhoka, Lalitpur-25, Lalitpur"
House for Sale,2,4,Available,2,13 ft," 16,500,000.00 ",2469,"Godawari, Godawari-11, Lalitpur"
House for Sale,3,3,Available,3,13 ft," 16,500,000.00 ",1797,"Lamatar, Mahalaxmi-12, Lalitpur"
House for Sale,3,2,Available,2,20 ft," 21,166,000.00 ",2067,"Chapagaun, Godawari-4, Lalitpur"
House for Sale,3,1,Available,1,26 ft," 21,177,000.00 ",1363,"Tikathali, Mahalaxmi-25, Lalitpur"
House for Sale,3,2,Not Available,2,29 ft," 16,500,000.00 ",1645,"Patan Dhoka, Lalitpur-18, Lalitpur"
House for Sale,3,3,Available,3,15 ft," 16,500,000.00 ",2078,"Bungamati, Godawari-13, Lalitpur"
House for Sale,4,1,Available,1,9 ft," 21,067,000.00 ",2139,"Pulchowk, Lalitpur-11, Lalitpur"
House for Sale,4,2,Not Available,2,28 ft," 16,500,000.00 ",1682,"Bungamati, Godawari-21, Lalitpur"
House for Sale,2,3,Available,4,8 ft," 16,500,000.00 ",1771,"Satdobato, Lalitpur-32, Lalitpur"
House for Sale,3,2,Available,3,22 ft," 16,500,000.00 ",1192,"Lubhu, Mahalaxmi-32, Lalitpur"
House for Sale,4,3,Available,2,8 ft," 17,629,000.00 ",1657,"Lamatar, Mahalaxmi-4, Lalitpur"
House for Sale,4,2,Available,1,12 ft," 21,743,000.00 ",2156,"Lamatar, Mahalaxmi-19, Lalitpur"
House for Sale,5,1,Available,3,23 ft," 34,642,000.00 ",2030,"Tikathali, Mahalaxmi-21, Lalitpur"
House for Sale,4,3,Not Available,2,26 ft," 27,058,000.00 ",2000,"Jawalakhel, Lalitpur-27, Lalitpur"
House for Sale,3,2,Available,2,11 ft," 18,010,000.00 ",1819,"Lamatar, Mahalaxmi-18, Lalitpur"
House for Sale,2,3,Available,1,10 ft," 19,055,000.00 ",1802,"Lamatar, Mahalaxmi-22, Lalitpur"
House for Sale,4,2,Not Available,4,24 ft," 16,500,000.00 ",1535,"Chapagaun, Godawari-5, Lalitpur"
House for Sale,2,2,Available,3,24 ft," 19,058,000.00 ",2079,"Jawalakhel, Lalitpur-8, Lalitpur"
House for Sale,4,4,Available,3,19 ft," 17,106,000.00 ",1968,"Lubhu, Mahalaxmi-28, Lalitpur"
House for Sale,5,3,Available,3,21 ft," 21,846,000.00 ",1996,"Patan Dhoka, Lalitpur-29, Lalitpur"
House for Sale,4,3,Not Available,2,28 ft," 16,500,000.00 ",1589,"Tikathali, Mahalaxmi-30, Lalitpur"
House for Sale,3,2,Available,2,13 ft," 23,633,000.00 ",938,"Satdobato, Lalitpur-7, Lalitpur"
House for Sale,4,3,Available,2,10 ft," 35,446,000.00 ",2238,"Lamatar, Mahalaxmi-1, Lalitpur"
House for Sale,3,2,Available,2,16 ft," 18,383,000.00 ",1608,"Pulchowk, Lalitpur-11, Lalitpur"
House for Sale,4,1,Available,2,12 ft," 22,547,000.00 ",1454,"Imadol, Mahalaxmi-18, Lalitpur"
House for Sale,5,4,Available,3,31 ft," 25,304,000.00 ",2077,"Lubhu, Mahalaxmi-7, Lalitpur"
House for Sale,3,2,Available,3,24 ft," 16,500,000.00 ",1643,"Lagankhel, Lalitpur-9, Lalitpur"
House for Sale,6,5,Not Available,3,21 ft," 21,001,000.00 ",2223,"Thaiba, Godawari-14, Lalitpur"
House for Sale,5,2,Available,2,28 ft," 19,297,000.00 ",2046,"Bungamati, Godawari-17, Lalitpur"
House for Sale,3,2,Available,3,10 ft," 19,965,000.00 ",2073,"Tikathali, Mahalaxmi-14, Lalitpur"
House for Sale,2,3,Not Available,3,8 ft," 16,500,000.00 ",1253,"Lagankhel, Lalitpur-6, Lalitpur"
House for Sale,3,4,Not Available,2,27 ft," 19,389,000.00 ",2284,"Imadol, Mahalaxmi-18, Lalitpur"
House for Sale,2,3,Available,3,28 ft," 23,432,000.00 ",1904,"Lubhu, Mahalaxmi-32, Lalitpur"
House for Sale,2,4,Available,2,30 ft," 34,308,000.00 ",1652,"Imadol, Mahalaxmi-28, Lalitpur"
House for Sale,4,3,Available,2,8 ft," 28,180,000.00 ",1857,"Tikathali, Mahalaxmi-4, Lalitpur"
House for Sale,2,3,Not Available,2,10 ft," 45,430,000.00 ",1089,"Thaiba, Godawari-2, Lalitpur"
House for Sale,3,4,Not Available,2,25 ft," 16,500,000.00 ",1963,"Pulchowk, Lalitpur-7, Lalitpur"
House for Sale,5,2,Available,2,32 ft," 27,217,000.00 ",1388,"Bungamati, Godawari-2, Lalitpur"
House for Sale,2,2,Not Available,3,17 ft," 20,661,000.00 ",1258,"Tikathali, Mahalaxmi-14, Lalitpur"
House for Sale,5,2,Available,4,29 ft," 46,101,000.00 ",1191,"Lagankhel, Lalitpur-3, Lalitpur"
House for Sale,3,5,Available,3,10 ft," 16,500,000.00 ",2245,"Imadol, Mahalaxmi-21, Lalitpur"
House for Sale,3,4,Available,3,15 ft," 16,500,000.00 ",1548,"Godawari, Godawari-8, Lalitpur"
House for Sale,4,1,Not Available,2,21 ft," 16,500,000.00 ",2413,"Jawalakhel, Lalitpur-24, Lalitpur"
House for Sale,4,3,Available,3,31 ft," 16,500,000.00 ",1585,"Lamatar, Mahalaxmi-20, Lalitpur"
House for Sale,5,4,Not Available,1,25 ft," 16,500,000.00 ",1117,"Satdobato, Lalitpur-12, Lalitpur"
House for Sale,4,2,Not Available,2,22 ft," 16,500,000.00 ",1353,"Godawari, Godawari-32, Lalitpur"
House for Sale,5,3,Not Available,2,29 ft," 20,390,000.00 ",2294,"Lubhu, Mahalaxmi-5, Lalitpur"
House for Sale,3,4,Available,2,30 ft," 22,013,000.00 ",1737,"Satdobato, Lalitpur-3, Lalitpur"
House for Sale,3,1,Available,1,9 ft," 40,665,000.00 ",1580,"Lubhu, Mahalaxmi-30, Lalitpur"
House for Sale,4,3,Available,2,17 ft," 28,081,000.00 ",1864,"Lubhu, Mahalaxmi-15, Lalitpur"
House for Sale,5,2,Available,2,9 ft," 16,500,000.00 ",2000,"Imadol, Mahalaxmi-13, Lalitpur"
House for Sale,6,4,Available,4,24 ft," 16,500,000.00 ",2246,"Lubhu, Mahalaxmi-22, Lalitpur"
House for Sale,3,5,Not Available,2,15 ft," 23,375,000.00 ",2379,"Lubhu, Mahalaxmi-2, Lalitpur"
House for Sale,3,4,Available,2,8 ft," 16,500,000.00 ",1656,"Chapagaun, Godawari-31, Lalitpur"
House for Sale,4,2,Available,2,16 ft," 39,945,000.00 ",1269,"Satdobato, Lalitpur-18, Lalitpur"
House for Sale,3,4,Available,3,18 ft," 30,774,000.00 ",1634,"Chapagaun, Godawari-3, Lalitpur"
House for Sale,5,4,Available,2,29 ft," 16,500,000.00 ",1904,"Lubhu, Mahalaxmi-24, Lalitpur"
House for Sale,5,2,Available,2,23 ft," 16,500,000.00 ",1414,"Lubhu, Mahalaxmi-17, Lalitpur"
House for Sale,3,4,Available,2,14 ft," 32,998,000.00 ",1417,"Bungamati, Godawari-16, Lalitpur"
House for Sale,4,1,Not Available,1,17 ft," 18,340,000.00 ",1937,"Patan Dhoka, Lalitpur-27, Lalitpur"
House for Sale,4,3,Available,1,30 ft," 31,502,000.00 ",1780,"Bungamati, Godawari-17, Lalitpur"
House for Sale,3,2,Not Available,2,10 ft," 16,500,000.00 ",1813,"Chapagaun, Godawari-2, Lalitpur"
House for Sale,5,2,Not Available,1,25 ft," 16,500,000.00 ",1496,"Bungamati, Godawari-26, Lalitpur"
House for Sale,4,1,Available,2,32 ft," 19,240,000.00 ",1707,"Imadol, Mahalaxmi-6, Lalitpur"
House for Sale,5,3,Not Available,2,31 ft," 19,564,000.00 ",1430,"Godawari, Godawari-21, Lalitpur"
House for Sale,3,2,Available,3,20 ft," 16,500,000.00 ",2156,"Thaiba, Godawari-22, Lalitpur"
House for Sale,5,3,Not Available,2,14 ft," 24,632,000.00 ",2214,"Godawari, Godawari-23, Lalitpur"
House for Sale,3,1,Available,2,32 ft," 16,500,000.00 ",1061,"Lagankhel, Lalitpur-18, Lalitpur"
House for Sale,2,2,Not Available,2,11 ft," 18,137,000.00 ",1428,"Chapagaun, Godawari-11, Lalitpur"
House for Sale,5,3,Not Available,4,20 ft," 20,146,000.00 ",1201,"Godawari, Godawari-18, Lalitpur"
House for Sale,2,3,Not Available,2,27 ft," 23,587,000.00 ",1539,"Satdobato, Lalitpur-22, Lalitpur"
House for Sale,3,2,Not Available,1,8 ft," 25,522,000.00 ",1766,"Imadol, Mahalaxmi-29, Lalitpur"
House for Sale,6,3,Available,3,15 ft," 16,500,000.00 ",1220,"Tikathali, Mahalaxmi-3, Lalitpur"
House for Sale,6,4,Available,2,21 ft," 16,500,000.00 ",1431,"Tikathali, Mahalaxmi-30, Lalitpur"
House for Sale,4,3,Available,2,23 ft," 32,008,000.00 ",1398,"Lagankhel, Lalitpur-11, Lalitpur"
House for Sale,4,2,Available,2,21 ft," 21,930,000.00 ",1882,"Godawari, Godawari-29, Lalitpur"
House for Sale,3,1,Available,3,19 ft," 16,500,000.00 ",1827,"Godawari, Godawari-8, Lalitpur"
House for Sale,3,4,Available,2,26 ft," 35,708,000.00 ",1511,"Bungamati, Godawari-7, Lalitpur"
House for Sale,3,1,Not Available,3,30 ft," 20,109,000.00 ",1870,"Imadol, Mahalaxmi-22, Lalitpur"
House for Sale,4,4,Available,4,22 ft," 30,773,000.00 ",1581,"Pulchowk, Lalitpur-9, Lalitpur"
House for Sale,4,3,Not Available,2,9 ft," 19,726,000.00 ",1691,"Thaiba, Godawari-8, Lalitpur"
House for Sale,4,4,Available,2,9 ft," 43,781,000.00 ",2469,"Lagankhel, Lalitpur-10, Lalitpur"
House for Sale,4,3,Not Available,2,30 ft," 38,747,000.00 ",2336,"Lubhu, Mahalaxmi-15, Lalitpur"
House for Sale,2,5,Not Available,2,29 ft," 17,380,000.00 ",1280,"Bungamati, Godawari-5, Lalitpur"
House for Sale,3,2,Available,2,26 ft," 28,319,000.00 ",2131,"Thaiba, Godawari-24, Lalitpur"
House for Sale,2,3,Available,4,32 ft," 24,855,000.00 ",2124,"Lamatar, Mahalaxmi-20, Lalitpur"
House for Sale,4,2,Not Available,3,29 ft," 33,194,000.00 ",1340,"Thaiba, Godawari-27, Lalitpur"
House for Sale,3,2,Available,3,29 ft," 16,500,000.00 ",2127,"Patan Dhoka, Lalitpur-14, Lalitpur"
House for Sale,5,3,Available,2,24 ft," 25,263,000.00 ",2415,"Pulchowk, Lalitpur-17, Lalitpur"
House for Sale,3,4,Available,3,27 ft," 29,320,000.00 ",1350,"Bungamati, Godawari-19, Lalitpur"
House for Sale,3,5,Available,4,17 ft," 16,500,000.00 ",1432,"Satdobato, Lalitpur-17, Lalitpur"
House for Sale,3,3,Available,3,13 ft," 16,500,000.00 ",2207,"Lubhu, Mahalaxmi-19, Lalitpur"
House for Sale,4,2,Available,1,22 ft," 16,500,000.00 ",1908,"Bungamati, Godawari-26, Lalitpur"
House for Sale,4,2,Available,3,29 ft," 17,239,000.00 ",2020,"Patan Dhoka, Lalitpur-27, Lalitpur"
House for Sale,3,3,Available,1,18 ft," 25,583,000.00 ",1936,"Bungamati, Godawari-14, Lalitpur"
House for Sale,2,2,Not Available,2,12 ft," 35,018,000.00 ",1956,"Godawari, Godawari-27, Lalitpur"
House for Sale,4,2,Available,1,8 ft," 19,778,000.00 ",1269,"Patan Dhoka, Lalitpur-17, Lalitpur"
House for Sale,2,2,Not Available,3,15 ft," 36,832,000.00 ",2218,"Lagankhel, Lalitpur-23, Lalitpur"
House for Sale,5,2,Available,3,28 ft," 16,500,000.00 ",2267,"Tikathali, Mahalaxmi-24, Lalitpur"
House for Sale,4,2,Available,2,19 ft," 16,500,000.00 ",1708,"Satdobato, Lalitpur-13, Lalitpur"
House for Sale,2,2,Available,2,19 ft," 18,778,000.00 ",1782,"Jawalakhel, Lalitpur-19, Lalitpur"
House for Sale,2,1,Available,2,12 ft," 22,388,000.00 ",1187,"Chapagaun, Godawari-8, Lalitpur"
House for Sale,6,1,Available,2,14 ft," 18,951,000.00 ",2005,"Imadol, Mahalaxmi-6, Lalitpur"
House for Sale,3,5,Available,2,11 ft," 16,500,000.00 ",2028,"Lubhu, Mahalaxmi-7, Lalitpur"
House for Sale,3,2,Available,2,13 ft," 18,528,000.00 ",1775,"Tikathali, Mahalaxmi-20, Lalitpur"
House for Sale,5,2,Available,3,20 ft," 16,500,000.00 ",2249,"Lagankhel, Lalitpur-3, Lalitpur"
House for Sale,5,3,Available,1,27 ft," 25,098,000.00 ",1666,"Tikathali, Mahalaxmi-4, Lalitpur"
House for Sale,6,2,Available,1,22 ft," 22,232,000.00 ",2025,"Godawari, Godawari-17, Lalitpur"
House for Sale,4,4,Available,2,10 ft," 16,500,000.00 ",1392,"Tikathali, Mahalaxmi-31, Lalitpur"
House for Sale,3,3,Not Available,4,30 ft," 16,500,000.00 ",1790,"Jawalakhel, Lalitpur-26, Lalitpur"
House for Sale,2,1,Available,3,15 ft," 16,500,000.00 ",1730,"Pulchowk, Lalitpur-12, Lalitpur"
House for Sale,4,2,Available,3,27 ft," 18,725,000.00 ",1890,"Patan Dhoka, Lalitpur-29, Lalitpur"
House for Sale,4,4,Not Available,2,23 ft," 28,134,000.00 ",1652,"Bungamati, Godawari-27, Lalitpur"
House for Sale,3,4,Available,2,20 ft," 16,500,000.00 ",1747,"Tikathali, Mahalaxmi-12, Lalitpur"
House for Sale,5,2,Available,1,25 ft," 23,489,000.00 ",2130,"Tikathali, Mahalaxmi-9, Lalitpur"
House for Sale,3,3,Not Available,3,17 ft," 16,500,000.00 ",1625,"Imadol, Mahalaxmi-31, Lalitpur"
House for Sale,3,2,Available,4,26 ft," 16,500,000.00 ",1157,"Imadol, Mahalaxmi-27, Lalitpur"
House for Sale,2,5,Available,3,24 ft," 18,395,000.00 ",2499,"Bungamati, Godawari-14, Lalitpur"
House for Sale,3,2,Available,3,31 ft," 16,500,000.00 ",2352,"Imadol, Mahalaxmi-28, Lalitpur"
House for Sale,2,4,Available,3,26 ft," 16,500,000.00 ",1283,"Jawalakhel, Lalitpur-15, Lalitpur"
House for Sale,3,3,Available,2,30 ft," 16,500,000.00 ",2075,"Pulchowk, Lalitpur-9, Lalitpur"
House for Sale,3,3,Available,4,12 ft," 42,132,000.00 ",1598,"Tikathali, Mahalaxmi-20, Lalitpur"
House for Sale,4,3,Available,1,28 ft," 19,473,000.00 ",1905,"Chapagaun, Godawari-20, Lalitpur"
House for Sale,4,2,Available,2,30 ft," 16,500,000.00 ",1917,"Satdobato, Lalitpur-28, Lalitpur"
House for Sale,4,2,Not Available,2,16 ft," 20,916,000.00 ",1706,"Lokanthali, Madhyapur Thimi-10, Bhaktapur"
House for Sale,6,2,Not Available,1,19 ft," 18,356,000.00 ",1486,"Gatthaghar, Madhyapur Thimi-3, Bhaktapur"
House for Sale,3,2,Available,2,28 ft," 17,576,000.00 ",1523,"Sallaghari, Bhaktapur-7, Bhaktapur"
House for Sale,3,3,Available,2,8 ft," 24,547,000.00 ",1433,"Jhaukhel, Changunarayan-25, Bhaktapur"
